genres,release_date,tags,specs,price,sentiment,metascore
['Action'],1998-11-08,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,Overwhelmingly Positive,96
['Strategy'],2006-07-06,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']","['Single-player', 'Multi-player', 'Co-op']",6.99,Mostly Positive,84
['Strategy'],2006-07-06,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']","['Single-player', 'Multi-player', 'Co-op']",6.99,Very Positive,80
"['Action', 'Indie', 'RPG']",2006-07-11,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Valve Anti-Cheat enabled']",9.99,Very Positive,76
['Action'],2005-08-09,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']","['Single-player', 'Steam Trading Cards']",9.99,Mostly Positive,70
"['Indie', 'Strategy']",2006-09-29,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']","['Single-player', 'Multi-player']",9.99,Very Positive,84
"['Casual', 'Indie']",2006-12-19,"['Casual', 'Indie', 'Singleplayer']",['Single-player'],4.99,Mixed,69
['Strategy'],2003-08-23,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",['Single-player'],4.99,Very Positive,81
"['Adventure', 'RPG']",2006-04-17,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",['Single-player'],19.99,Very Positive,75
['Racing'],2006-08-01,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",['Single-player'],9.99,Very Positive,76
['Racing'],2005-07-12,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']","['Single-player', 'Multi-player']",7.49,Very Positive,72
"['Action', 'Adventure']",2007-06-26,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']","['Single-player', 'Multi-player', 'Partial Controller Support', 'Valve Anti-Cheat enabled']",14.99,Mostly Positive,66
['Strategy'],2006-07-24,"['Strategy', 'City Builder', 'Simulation', 'Rome']",['Single-player'],9.99,Mostly Positive,67
['RPG'],2002-11-12,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",['Single-player'],4.99,Very Positive,77
"['Action', 'Adventure', 'RPG']",2000-11-17,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",['Single-player'],9.99,Very Positive,91
['Strategy'],2006-07-24,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",['Single-player'],4.99,Very Positive,84
['Strategy'],2003-10-23,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']","['Single-player', 'Multi-player']",9.99,Mostly Positive,80
['Strategy'],2006-10-16,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']","['Single-player', 'Multi-player']",9.99,Mixed,77
['Strategy'],1998-10-31,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",['Single-player'],4.99,Very Positive,89
"['Action', 'Adventure']",2007-06-05,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']","['Single-player', 'Partial Controller Support']",8.99,Very Positive,83
['Action'],2006-05-23,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']","['Single-player', 'Partial Controller Support']",19.99,Mixed,66
['Action'],1994-05-05,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']","['Single-player', 'Multi-player', 'Steam Cloud']",4.99,Very Positive,83
['Action'],2001-11-20,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']","['Single-player', 'Multi-player', 'Steam Cloud']",4.99,Very Positive,88
['Action'],2003-09-09,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']","['Single-player', 'Steam Trading Cards']",9.99,Mostly Positive,65
['Action'],2007-05-31,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']","['Single-player', 'Multi-player', 'Co-op', 'Steam Cloud']",4.99,Overwhelmingly Positive,94
['Strategy'],2007-03-20,"['Strategy', 'Space', 'Sci-fi', 'RTS']","['Single-player', 'Multi-player']",4.99,Mostly Negative,57
"['Action', 'RPG']",2007-08-21,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']","['Single-player', 'Partial Controller Support']",19.99,Very Positive,96
['Strategy'],2006-01-01,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']","['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Cloud']",12.99,Overwhelmingly Positive,86
['Strategy'],2006-10-09,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']","['Single-player', 'Multi-player', 'Steam Cloud']",12.99,Overwhelmingly Positive,87
['Strategy'],2004-09-22,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']","['Single-player', 'Multi-player', 'Steam Trading Cards']",9.99,Very Positive,92
['Strategy'],2006-06-26,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']","['Single-player', 'Multi-player']",4.99,Mostly Positive,79
