price,metascore,Racing,RPG,Strategy,Free to Play,Adventure,Action,Casual,Simulation,Massively Multiplayer,Indie,Early Access,Sports,year
9.99,96,0,0,0,0,0,1,0,0,0,0,0,0,1998
6.99,84,0,0,1,0,0,0,0,0,0,0,0,0,2006
6.99,80,0,0,1,0,0,0,0,0,0,0,0,0,2006
9.99,76,0,1,0,0,0,1,0,0,0,1,0,0,2006
9.99,70,0,0,0,0,0,1,0,0,0,0,0,0,2005
9.99,84,0,0,1,0,0,0,0,0,0,1,0,0,2006
4.99,69,0,0,0,0,0,0,1,0,0,1,0,0,2006
4.99,81,0,0,1,0,0,0,0,0,0,0,0,0,2003
19.99,75,0,1,0,0,1,0,0,0,0,0,0,0,2006
9.99,76,1,0,0,0,0,0,0,0,0,0,0,0,2006
7.49,72,1,0,0,0,0,0,0,0,0,0,0,0,2005
14.99,66,0,0,0,0,1,1,0,0,0,0,0,0,2007
9.99,67,0,0,1,0,0,0,0,0,0,0,0,0,2006
4.99,77,0,1,0,0,0,0,0,0,0,0,0,0,2002
9.99,91,0,1,0,0,1,1,0,0,0,0,0,0,2000
4.99,84,0,0,1,0,0,0,0,0,0,0,0,0,2006
9.99,80,0,0,1,0,0,0,0,0,0,0,0,0,2003
9.99,77,0,0,1,0,0,0,0,0,0,0,0,0,2006
4.99,89,0,0,1,0,0,0,0,0,0,0,0,0,1998
8.99,83,0,0,0,0,1,1,0,0,0,0,0,0,2007
19.99,66,0,0,0,0,0,1,0,0,0,0,0,0,2006
4.99,83,0,0,0,0,0,1,0,0,0,0,0,0,1994
4.99,88,0,0,0,0,0,1,0,0,0,0,0,0,2001
9.99,65,0,0,0,0,0,1,0,0,0,0,0,0,2003
4.99,94,0,0,0,0,0,1,0,0,0,0,0,0,2007
4.99,57,0,0,1,0,0,0,0,0,0,0,0,0,2007
19.99,96,0,1,0,0,0,1,0,0,0,0,0,0,2007
12.99,86,0,0,1,0,0,0,0,0,0,0,0,0,2006
12.99,87,0,0,1,0,0,0,0,0,0,0,0,0,2006
9.99,92,0,0,1,0,0,0,0,0,0,0,0,0,2004
4.99,79,0,0,1,0,0,0,0,0,0,0,0,0,2006
9.99,75,0,0,0,0,0,1,0,0,0,0,0,0,2004
9.99,81,1,0,0,0,0,0,0,0,0,0,0,0,2003
9.99,86,0,0,0,0,0,1,0,0,0,0,0,0,2003
6.99,82,0,0,0,0,1,1,0,0,0,0,0,0,2006
9.99,89,0,0,0,0,0,1,0,0,0,0,0,0,2001
19.99,82,0,0,1,0,0,0,0,0,0,0,0,0,2008
9.99,84,0,0,0,0,0,0,1,0,0,0,0,0,2007
9.99,66,0,1,0,0,1,0,1,0,0,0,0,0,2007
5.99,58,0,0,0,0,0,1,0,0,0,0,0,0,2008
7.99,74,0,0,0,0,0,1,0,0,0,0,0,0,2007
9.99,67,0,0,0,0,0,0,0,1,0,0,0,0,2006
9.99,66,0,0,0,0,0,1,0,0,0,0,0,0,2006
4.99,69,0,0,0,0,1,1,0,0,0,0,0,0,2007
2.99,74,0,0,0,0,0,1,0,0,0,0,0,0,2006
19.99,81,0,0,1,0,0,0,0,1,0,0,0,0,2006
2.99,82,0,0,0,0,0,1,0,0,0,0,0,0,2005
14.99,75,0,0,0,0,0,1,0,0,0,0,0,0,2003
4.99,57,0,0,0,0,0,0,1,0,0,1,0,0,2008
9.99,91,0,0,0,0,0,1,0,0,0,0,0,0,2003
9.99,89,0,0,0,0,0,1,0,0,0,0,0,0,2004
9.99,92,0,0,0,0,0,1,0,0,0,0,0,0,2000
9.99,85,0,0,0,0,0,1,0,0,0,0,0,0,2006
9.99,90,0,0,0,0,0,0,0,1,0,0,0,0,2005
9.99,58,0,0,0,0,1,1,0,0,0,0,0,0,2007
9.99,79,0,0,0,0,0,0,0,1,0,0,0,0,2007
9.99,86,0,0,0,0,0,0,0,1,0,0,0,0,2006
9.99,68,0,0,0,0,1,0,0,0,0,0,0,0,2005
9.99,76,0,0,0,0,1,0,0,0,0,0,0,0,2006
9.99,70,0,0,0,0,1,0,0,0,0,0,0,0,2008
9.99,71,0,1,0,0,1,0,0,0,0,0,0,0,2008
7.99,60,0,0,1,0,0,0,0,1,0,0,0,0,2007
19.99,79,1,0,0,0,0,0,0,0,0,0,0,0,2008
7.99,83,1,0,0,0,0,0,0,0,0,0,0,0,2008
4.99,65,0,0,1,0,0,0,0,0,0,0,0,0,2001
